Timestamp,What is your email?,In which country do you currently reside?,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis? (Select all that apply)",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding],Email Address
4/6/2020 5:18:20,amaillardme@un.org,Portugal,Software Engineer,expert,beginner,proficient,expert,beginner,proficient,expert,competent,competent,competent,none,2,Database E,Platform C,Platform A;Platform B;Platform C,Platform C,Platform D,Platform D,Platform D;Platform B,amaillardme@un.org
9/26/2020 3:41:27,sdewdenymf@jimdo.com,United States,Data Analyst,beginner,competent,beginner,none,beginner,proficient,proficient,competent,competent,none,competent,1,Database B,Platform D,Platform A;Platform B,Platform A;Platform B;Platform C,Platform A,Platform D,Platform B,sdewdenymf@jimdo.com
3/16/2020 0:23:46,fcereceresmg@weather.com,China,Data Scientist,beginner,beginner,none,competent,none,proficient,competent,proficient,proficient,competent,competent,5,Database C,Platform B,Platform A;Platform B,Platform A,Platform D;Platform B,Platform B;Platform C,Platform B;Platform C,fcereceresmg@weather.com
7/3/2020 3:24:09,cstorrormh@about.me,Philippines,Product/Project Manager,beginner,expert,competent,none,proficient,expert,competent,competent,beginner,none,expert,2,Database B;Database A;Database D,Platform D,Platform B,Platform A;Platform B;Platform C,Platform C,Platform D,Platform D,cstorrormh@about.me
9/10/2020 15:24:02,mbushbymk@house.gov,Greece,Data Analyst,none,proficient,expert,expert,beginner,competent,none,beginner,none,none,beginner,5,Database E,Platform D,Platform A,Platform A;Platform B,"Platform A;Platform D,Platform B",Platform A,Platform A,mbushbymk@house.gov
3/10/2020 17:13:28,amutlowmo@t-online.de,Sweden,Data Engineer,none,beginner,none,expert,none,competent,none,beginner,expert,proficient,beginner,4,Database C,Platform B,Platform B;Platform C,Platform A,Platform B;Platform C,Platform A,Platform D;Platform C,amutlowmo@t-online.de
4/16/2020 12:44:53,bhegertymu@disqus.com,China,Citizen Data Scientist,expert,beginner,proficient,expert,beginner,competent,proficient,expert,proficient,competent,expert,4,Database B;Database A;Database D,Platform C,Platform A,Platform A;Platform C,Platform C,Platform D,Platform D;Platform B,bhegertymu@disqus.com
4/22/2020 14:02:03,jbealemv@ihg.com,Indonesia,Data Engineer,none,competent,expert,beginner,competent,competent,none,competent,competent,beginner,proficient,1,Database C,Platform A,Platform B,Platform A;Platform B;Platform C,Platform A;Platform D;Platform C,Platform D,Platform A,jbealemv@ihg.com
3/5/2020 13:38:43,ldefrainemy@baidu.com,Uzbekistan,Data Scientist,competent,expert,beginner,none,beginner,expert,proficient,expert,expert,beginner,beginner,1,Database D,Platform B,Platform B,Platform A;Platform B;Platform C,Platform D,Platform D;Platform C,"Platform A;Platform D,Platform B",ldefrainemy@baidu.com
9/11/2020 2:28:20,gpusilln0@tuttocitta.it,Indonesia,Software Engineer,proficient,expert,expert,beginner,expert,beginner,competent,none,beginner,proficient,beginner,5,Database C,Platform A,Platform A,Platform A;Platform B,Platform B;Platform C,Platform B,Platform B,gpusilln0@tuttocitta.it
5/13/2020 20:55:35,hhellenn2@goo.gl,Portugal,Data Scientist,competent,none,proficient,proficient,proficient,proficient,proficient,proficient,proficient,proficient,beginner,3,Database A,Platform A,Platform B,Platform A;Platform B;Platform C,Platform C,Platform A;Platform D;Platform C,Platform A;Platform B;Platform C,hhellenn2@goo.gl
6/29/2020 10:07:30,ttremathickn7@vk.com,Venezuela,Data Scientist,proficient,competent,expert,competent,proficient,proficient,expert,expert,none,beginner,beginner,2,Database C,Platform D,Platform C,Platform A,Platform B;Platform C,Platform D;Platform B,Platform B,ttremathickn7@vk.com
6/14/2020 12:53:42,bshallonb@wordpress.com,China,Software Engineer,expert,competent,none,beginner,competent,expert,expert,none,none,proficient,competent,3,Database C,Platform A,Platform B,Platform B,Platform A;Platform D;Platform C,Platform D,Platform D;Platform C,bshallonb@wordpress.com
3/3/2020 14:03:26,rraysdalenc@yelp.com,Portugal,Data Analyst,none,none,expert,expert,proficient,proficient,proficient,proficient,beginner,expert,beginner,3,Database E,Platform C,Platform A;Platform B,Platform A,Platform A;Platform D;Platform C,Platform A;Platform B;Platform C,Platform B,rraysdalenc@yelp.com
8/13/2020 5:56:37,ghebdonne@house.gov,China,Data Engineer,competent,none,expert,expert,proficient,competent,competent,expert,competent,competent,proficient,3,Database B;Database A;Database D,Platform D,Platform A;Platform B,Platform A;Platform B,Platform A,Platform D;Platform C,Platform A,ghebdonne@house.gov
